R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,date,location,R_SIG_STR._ATT,R_SIG_STR._LANDED,B_SIG_STR._ATT,B_SIG_STR._LANDED,R_TOTAL_STR._ATT,R_TOTAL_STR._LANDED,B_TOTAL_STR._ATT,B_TOTAL_STR._LANDED,R_TD_ATT,R_TD_LANDED,B_TD_ATT,B_TD_LANDED,R_HEAD_ATT,R_HEAD_LANDED,B_HEAD_ATT,B_HEAD_LANDED,R_BODY_ATT,R_BODY_LANDED,B_BODY_ATT,B_BODY_LANDED,R_LEG_ATT,R_LEG_LANDED,B_LEG_ATT,B_LEG_LANDED,R_DISTANCE_ATT,R_DISTANCE_LANDED,B_DISTANCE_ATT,B_DISTANCE_LANDED,R_CLINCH_ATT,R_CLINCH_LANDED,B_CLINCH_ATT,B_CLINCH_LANDED,R_GROUND_ATT,R_GROUND_LANDED,B_GROUND_ATT,B_GROUND_LANDED,title_bout,total_time_fought(sec),no_of_rounds,Red_win,R_Height,R_Weight,R_Reach,R_KO_win_%,R_Sub_win_%,R_Stance_Orthodox,R_Stance_Southpaw,R_num_fights,R_record,R_age,B_Height,B_Weight,B_Reach,B_KO_win_%,B_Sub_win_%,B_Stance_Orthodox,B_Stance_Southpaw,B_num_fights,B_record,B_age,Bantamweight,Featherweight,Flyweight,Heavyweight,Light Heavyweight,Lightweight,Middleweight,Welterweight,Women's Bantamweight,Women's Featherweight,Women's Flyweight,Women's Strawweight
Don Frye,David Abbott,0,0,0.33,0.46,0.0,0.0,2,0,1,0,0,0,1996-12-07,0,18,6,28,13,18,6,32,16,0,0,0,0,18,6,27,13,0,0,1,0,0,0,0,0,16,5,19,9,1,0,9,4,1,1,0,0,1,82,3,1,73.0,219.0,74.69655172413793,1.0,0.0,1,0,21,0.8571428571428571,31.03965173822871,72.0,265.0,73.75,0.2857142857142857,0.42857142857142855,0,0,7,0.5714285714285714,31.6355447439499,0,0,0,0,0,0,0,0,0,0,0,0
Dan Severn,David Abbott,0,0,0.87,0.5,0.5,0.0,0,0,0,0,0,0,1995-12-16,0,65,57,6,3,253,233,16,11,2,1,0,0,43,36,6,3,17,16,0,0,5,5,0,0,0,0,2,0,5,5,3,2,60,52,1,1,0,1080,1,1,74.0,250.0,75.8252427184466,0.14285714285714285,0.8571428571428571,0,1,21,0.7142857142857143,37.5230155307775,72.0,265.0,73.75,0.6666666666666666,0.3333333333333333,0,0,3,0.6666666666666666,31.6355447439499,0,0,0,0,0,0,0,0,0,0,0,0
Dustin Poirier,Akira Corassani,1,0,0.5,0.36,0.0,0.0,1,0,0,0,0,0,2014-04-16,0,89,45,66,24,90,46,66,24,1,0,1,0,78,37,57,19,9,8,9,5,2,0,0,0,73,31,61,21,14,12,5,3,2,2,0,0,0,342,3,1,69.0,155.0,72.0,0.1111111111111111,0.4444444444444444,0,1,9,0.7777777777777778,25.238026790420065,68.0,145.0,68.0,0.0,0.0,1,0,3,1.0,31.636515465752204,0,1,0,0,0,0,0,0,0,0,0,0
Dustin Poirier,Jonathan Brookins,0,0,0.47,0.48,0.0,0.0,1,0,0,0,0,0,2012-12-15,1,73,35,54,26,76,38,54,26,2,0,2,0,65,28,46,20,5,4,7,6,3,3,1,0,34,13,26,12,39,22,28,14,0,0,0,0,0,255,3,1,69.0,155.0,72.0,0.0,0.6,0,1,5,0.8,23.90466607801666,72.0,145.0,73.0,0.25,0.25,0,1,4,0.5,27.340739371787237,0,1,0,0,0,0,0,0,0,0,0,0
Michihiro Omigawa,Jason Young,0,0,0.42,0.27,0.4,0.66,3,0,5,0,1,0,2011-11-05,0,59,25,115,32,94,56,123,40,10,4,3,2,53,20,101,23,3,2,5,3,3,3,9,6,34,8,97,24,7,5,15,7,18,12,3,1,0,900,3,1,66.0,145.0,68.0,0.0,0.0,1,0,4,0.0,35.88027132658439,69.0,145.0,73.0,0.0,0.0,1,0,1,0.0,25.35575679172057,0,1,0,0,0,0,0,0,0,0,0,0
Dhiego Lima,Jesse Taylor,1,0,1.0,0.87,0.0,0.66,0,2,0,5,0,1,2017-07-07,1,4,4,24,21,6,6,59,50,0,0,3,2,4,4,24,21,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,23,20,1,343,4,0,74.0,170.0,75.0,0.75,0.0,1,0,4,0.25,28.430426360568664,72.0,170.0,73.0,0.0,1.0,1,0,1,0.0,34.51131782309014,0,0,0,0,0,0,0,1,0,0,0,0
Evan Dunham,Shamar Bailey,0,0,0.26,0.16,0.0,0.0,1,0,0,0,0,0,2011-09-17,0,351,92,206,35,353,94,206,35,0,0,5,0,336,87,169,19,12,3,15,5,3,2,22,11,346,90,204,33,5,2,2,2,0,0,0,0,0,900,3,1,70.0,155.0,70.0,0.3333333333333333,0.16666666666666666,0,1,6,0.6666666666666666,29.747359630930134,69.0,155.0,75.0,0.0,0.0,0,1,1,1.0,28.98622148298733,0,0,0,0,0,1,0,0,0,0,0,0
Danny Castillo,Shamar Bailey,0,0,0.64,0.75,1.0,0.0,0,0,2,0,0,0,2011-11-19,0,34,22,4,3,61,45,23,21,3,3,0,0,29,17,4,3,4,4,0,0,1,1,0,0,2,2,1,0,0,0,1,1,32,20,2,2,0,292,3,1,69.0,155.0,71.0,0.0,0.0,1,0,2,0.5,32.23611710028269,69.0,155.0,75.0,0.0,0.0,0,1,2,0.5,29.158709624427605,0,0,0,0,0,1,0,0,0,0,0,0
Evan Dunham,Efrain Escudero,0,1,0.27,0.35,0.75,0.0,1,2,4,0,0,1,2010-01-11,0,80,22,74,26,109,48,86,38,4,3,1,0,75,19,67,20,5,3,3,3,0,0,4,3,58,10,56,20,1,0,12,5,21,12,6,1,0,719,3,1,70.0,155.0,70.0,0.5,0.0,0,1,2,1.0,28.066284728639193,69.0,155.0,70.0,0.5,0.0,1,0,2,1.0,23.989541195233304,0,0,0,0,0,1,0,0,0,0,0,0
Leonardo Santos,Efrain Escudero,0,1,0.36,0.42,0.5,0.0,0,0,6,0,0,0,2014-09-13,0,98,36,101,43,132,66,143,77,4,2,0,0,75,23,80,27,17,7,11,6,6,6,10,10,79,20,92,37,3,1,5,4,16,15,4,2,0,900,3,1,72.0,155.0,75.0,0.0,0.5,1,0,2,0.5,34.60440666132775,69.0,155.0,70.0,0.14285714285714285,0.2857142857142857,1,0,7,0.42857142857142855,28.6604105491557,0,0,0,0,0,1,0,0,0,0,0,0
Mac Danzig,Efrain Escudero,0,0,0.56,0.42,0.2,0.0,0,1,0,0,0,0,2012-04-21,0,119,67,133,56,190,130,186,107,5,1,2,0,75,24,94,24,28,27,20,15,16,16,19,17,95,46,119,44,24,21,14,12,0,0,0,0,0,900,3,1,68.0,155.0,70.0,0.1111111111111111,0.4444444444444444,1,0,9,0.4444444444444444,32.30182686845041,69.0,155.0,70.0,0.16666666666666666,0.3333333333333333,1,0,6,0.5,26.264741918040755,0,0,0,0,0,1,0,0,0,0,0,0
Jacob Volkmann,Efrain Escudero,0,0,0.48,0.38,0.33,0.0,2,4,5,0,0,0,2011-12-30,1,35,17,18,7,108,85,64,53,9,3,0,0,26,13,14,5,3,3,2,1,6,1,2,1,17,3,12,2,1,1,5,4,17,13,1,1,0,900,3,1,69.0,155.0,71.0,0.0,0.16666666666666666,0,1,6,0.6666666666666666,31.31618034593455,69.0,155.0,70.0,0.2,0.4,1,0,5,0.6,25.955358426251053,0,0,0,0,0,1,0,0,0,0,0,0
Bec Rawlings,Seohee Ham,0,0,0.42,0.37,0.33,0.0,0,1,1,0,0,1,2016-03-19,0,183,77,247,92,199,90,276,119,3,1,2,0,156,61,202,61,27,16,38,27,0,0,7,4,164,63,231,81,11,6,11,7,8,8,5,4,0,900,3,1,66.0,125.0,64.0,0.0,0.5,1,0,2,0.5,27.099803555172247,62.0,115.0,62.0,0.0,0.0,0,1,2,0.5,29.032765902106135,0,0,0,0,0,0,0,0,0,0,0,1
Bec Rawlings,Lisa Ellis,0,0,0.52,0.41,0.0,0.33,1,0,2,1,0,0,2015-05-09,0,40,21,17,7,55,33,18,8,0,0,3,1,35,17,14,6,5,4,3,1,0,0,0,0,14,4,9,2,15,10,6,3,11,7,2,2,0,249,3,1,66.0,125.0,64.0,0.0,0.0,1,0,1,0.0,26.237362847970868,64.0,115.0,62.0,0.0,1.0,1,0,1,0.0,32.479790823904665,0,0,0,0,0,0,0,0,0,0,0,1
CB Dollaway,Jared Hamman,0,0,0.47,0.46,0.42,0.0,1,0,1,6,1,0,2011-08-14,0,40,19,113,53,51,28,184,109,7,3,0,0,34,14,98,41,4,4,11,9,2,1,4,3,30,14,57,24,0,0,0,0,10,5,56,29,0,518,3,0,74.0,185.0,76.0,0.25,0.5,1,0,8,0.625,28.01152658849942,75.0,185.0,75.0,0.3333333333333333,0.0,1,0,3,0.3333333333333333,29.437976139140435,0,0,0,0,0,0,1,0,0,0,0,0
Rodney Wallace,Jared Hamman,0,1,0.51,0.48,0.84,1.0,1,0,1,5,1,3,2010-03-27,0,66,34,124,60,84,47,250,176,13,11,2,2,62,31,100,38,4,3,21,19,0,0,3,3,30,15,30,5,19,12,25,11,17,7,69,44,0,900,3,0,69.0,205.0,72.0,0.0,0.0,0,0,1,0.0,28.34555124335202,75.0,185.0,75.0,1.0,0.0,1,0,1,0.0,28.05533310061124,0,0,0,0,1,0,0,0,0,0,0,0
CB Dollaway,Mark Munoz,0,1,0.4,0.57,1.0,0.0,0,0,0,0,0,0,2011-03-03,0,5,2,7,4,5,2,7,4,1,1,0,0,2,0,7,4,2,1,0,0,1,1,0,0,4,1,3,1,0,0,2,1,1,1,2,2,0,54,3,0,74.0,185.0,76.0,0.14285714285714285,0.5714285714285714,1,0,7,0.7142857142857143,27.562509839353307,72.0,185.0,72.0,0.5,0.0,1,0,6,0.6666666666666666,33.06022710938623,0,0,0,0,0,0,1,0,0,0,0,0
Lyoto Machida,Mark Munoz,1,0,0.5,0.0,0.0,0.0,0,0,0,0,0,0,2013-10-26,0,10,5,3,0,10,5,3,0,0,0,0,0,5,2,1,0,2,2,0,0,3,1,2,0,10,5,3,0,0,0,0,0,0,0,0,0,0,190,5,1,73.0,185.0,74.0,0.3333333333333333,0.13333333333333333,0,1,15,0.7333333333333333,35.40935132138237,72.0,185.0,72.0,0.5454545454545454,0.0,1,0,11,0.7272727272727273,35.710521092151104,0,0,0,0,0,0,1,0,0,0,0,0
Chris Leben,Mark Munoz,0,0,0.34,0.52,1.0,0.55,2,0,0,3,0,0,2011-11-05,0,35,12,74,39,88,61,92,55,2,2,9,5,30,8,56,22,3,3,17,16,2,1,1,1,17,4,11,5,11,6,9,5,7,2,54,29,0,600,5,0,71.0,185.0,74.0,0.5,0.2222222222222222,0,1,18,0.6666666666666666,31.291539182871652,72.0,185.0,72.0,0.5,0.0,1,0,8,0.75,33.736490140112394,0,0,0,0,0,0,1,0,0,0,0,0
Aaron Simpson,Mark Munoz,0,0,0.36,0.48,0.45,0.25,0,0,0,0,0,1,2010-11-20,0,118,43,156,76,146,70,174,92,11,5,4,1,90,21,104,35,24,18,23,19,4,4,29,22,85,27,77,29,30,14,74,43,3,2,5,4,0,900,3,0,72.0,170.0,73.0,0.75,0.0,1,0,4,0.75,36.337501796751475,72.0,185.0,72.0,0.6,0.0,1,0,5,0.6,32.778222687666414,0,0,0,0,0,0,1,0,0,0,0,0
Kendall Grove,Mark Munoz,1,0,0.34,0.41,0.0,0.12,3,0,1,0,1,1,2010-04-10,0,26,9,60,25,55,36,75,38,0,0,8,1,24,7,52,17,2,2,8,8,0,0,0,0,16,3,11,3,7,3,3,1,3,3,46,21,0,470,3,0,78.0,185.0,79.0,0.4444444444444444,0.2222222222222222,1,0,9,0.6666666666666666,27.40918704696195,72.0,185.0,72.0,0.6666666666666666,0.0,1,0,3,0.6666666666666666,32.164931518100985,0,0,0,0,0,0,1,0,0,0,0,0
CB Dollaway,Joe Doerksen,0,0,0.5,1.0,0.0,0.0,2,0,0,0,0,0,2010-09-25,0,2,1,1,1,2,1,6,6,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,133,3,1,74.0,185.0,76.0,0.16666666666666666,0.5,1,0,6,0.6666666666666666,27.127182625242135,72.0,185.0,75.0,0.42857142857142855,0.2857142857142857,1,0,7,0.2857142857142857,32.96166245713464,0,0,0,0,0,0,1,0,0,0,0,0
Nate Marquardt,Joe Doerksen,0,1,0.54,0.32,1.0,0.25,2,0,6,2,1,0,2006-03-04,1,103,56,80,26,118,71,125,71,5,5,8,2,80,36,70,19,10,7,8,5,13,13,2,2,82,44,69,21,12,5,4,2,9,7,7,3,0,900,3,1,72.0,185.0,74.0,0.0,0.0,1,0,1,1.0,26.872557273592204,72.0,185.0,75.0,0.3333333333333333,0.3333333333333333,1,0,3,0.3333333333333333,28.40030938349179,0,0,0,0,0,0,1,0,0,0,0,0
Ed Herman,Joe Doerksen,1,0,0.58,0.47,0.66,0.2,0,3,4,1,1,0,2007-11-17,0,74,43,19,9,122,89,26,16,3,2,5,1,61,31,15,5,13,12,3,3,0,0,1,1,21,6,15,7,13,9,4,2,40,28,0,0,0,639,3,1,73.0,205.0,77.0,0.0,0.75,1,0,4,0.5,27.124444718235146,72.0,185.0,75.0,0.25,0.25,1,0,4,0.25,30.10602544884563,0,0,0,0,0,0,1,0,0,0,0,0
Jason MacDonald,Joe Doerksen,0,0,0.76,0.66,0.5,1.0,2,3,1,2,1,0,2008-04-19,0,17,13,6,4,29,25,13,11,2,1,1,1,13,9,3,1,3,3,1,1,1,1,2,2,4,0,4,2,1,1,0,0,12,12,2,2,0,354,3,1,75.0,185.0,80.0,0.4,0.4,1,0,5,0.6,32.87952524692499,72.0,185.0,75.0,0.4,0.2,1,0,5,0.2,30.52766312792186,0,0,0,0,0,0,1,0,0,0,0,0
Tom Lawlor,Joe Doerksen,1,0,0.45,0.46,0.0,0.0,0,1,0,1,0,0,2010-05-08,0,92,42,94,44,97,47,103,53,2,0,1,0,90,40,76,34,2,2,12,7,0,0,6,3,73,25,80,38,18,16,14,6,1,1,0,0,0,430,3,0,72.0,205.0,74.0,0.0,0.3333333333333333,0,1,3,0.6666666666666666,26.982073553871743,72.0,185.0,75.0,0.5,0.16666666666666666,1,0,6,0.16666666666666666,32.578355476156254,0,0,0,0,0,0,1,0,0,0,0,0
Matt Lindland,Joe Doerksen,0,0,0.44,0.53,1.0,0.4,4,1,5,2,1,0,2005-08-20,1,43,19,15,8,102,70,30,22,4,4,5,2,38,14,11,4,5,5,3,3,0,0,1,1,10,5,9,4,2,1,6,4,31,13,0,0,0,900,3,1,72.0,185.0,74.0,0.45454545454545453,0.18181818181818182,0,1,11,0.7272727272727273,35.26150434300499,72.0,185.0,75.0,0.5,0.5,1,0,2,0.5,27.86367961012204,0,0,0,0,0,0,1,0,0,0,0,0
CB Dollaway,Goran Reljic,0,0,0.34,0.4,0.71,1.0,1,3,1,1,1,1,2010-02-20,0,73,25,50,20,124,72,70,40,7,5,1,1,51,12,31,7,19,12,12,10,3,1,7,3,36,9,41,17,14,7,6,1,23,9,3,2,0,900,3,1,74.0,185.0,76.0,0.2,0.6,1,0,5,0.6,26.53305680472563,75.0,205.0,81.0,1.0,0.0,0,1,1,1.0,25.922503542167192,0,0,0,0,0,0,1,0,0,0,0,0
Krzysztof Soszynski,Goran Reljic,0,0,0.5,0.31,0.0,0.33,3,0,1,1,0,0,2010-11-13,0,114,57,74,23,168,107,133,74,1,0,6,2,89,35,60,14,7,6,9,7,18,16,5,2,84,34,73,23,10,9,0,0,20,14,1,0,0,900,3,1,73.0,205.0,77.0,0.5,0.3333333333333333,0,0,6,0.6666666666666666,33.2819975769523,75.0,205.0,81.0,0.3333333333333333,0.0,0,1,3,0.3333333333333333,26.650786806026133,0,0,0,0,1,0,0,0,0,0,0,0
Kendall Grove,Goran Reljic,0,0,0.31,0.25,1.0,0.6,1,1,0,2,0,1,2010-07-03,1,89,28,56,14,146,83,73,27,1,1,5,3,75,17,37,2,10,8,9,6,4,3,10,6,62,9,42,9,19,15,5,3,8,4,9,2,0,900,3,1,78.0,185.0,79.0,0.5,0.2,1,0,10,0.6,27.639171235548986,75.0,205.0,81.0,0.5,0.0,0,1,2,0.5,26.286645174096662,0,0,0,0,0,0,1,0,0,0,0,0
CB Dollaway,Mike Massenzio,0,1,0.47,0.5,1.0,0.0,0,2,2,0,0,0,2008-12-27,1,19,9,6,3,40,29,12,8,1,1,0,0,16,8,6,3,3,1,0,0,0,0,0,0,8,3,6,3,2,0,0,0,9,6,0,0,0,181,3,1,74.0,185.0,76.0,0.0,1.0,1,0,2,0.5,25.383135861790453,74.0,185.0,73.0,0.0,1.0,0,1,1,1.0,26.155225637761212,0,0,0,0,0,0,1,0,0,0,0,0
Rousimar Palhares,Mike Massenzio,0,0,0.5,0.0,0.0,0.0,1,0,0,0,0,0,2012-01-14,0,8,4,6,0,8,4,6,0,1,0,0,0,3,0,5,0,0,0,0,0,5,4,1,0,7,4,6,0,1,0,0,0,0,0,0,0,0,63,3,1,68.0,170.0,71.0,0.125,0.5,1,0,8,0.75,31.88292709638117,74.0,185.0,73.0,0.2,0.4,0,1,5,0.4,29.202516136539423,0,0,0,0,0,0,1,0,0,0,0,0
Brian Stann,Mike Massenzio,0,0,0.59,0.45,0.0,0.55,2,2,0,4,0,0,2010-08-01,0,72,43,11,5,152,119,33,26,0,0,9,5,54,26,9,3,15,14,1,1,3,3,1,1,20,3,7,1,13,9,1,1,39,31,3,3,0,790,3,1,73.0,205.0,74.0,0.0,0.25,1,0,4,0.5,29.8514000971957,74.0,185.0,73.0,0.5,0.5,0,1,2,0.5,27.748687515828525,0,0,0,0,0,0,1,0,0,0,0,0
Steve Cantwell,Mike Massenzio,0,0,0.34,0.47,0.0,0.09,1,0,0,0,0,0,2011-10-08,0,164,56,164,78,184,76,167,80,0,0,11,1,110,21,152,69,47,33,10,7,7,2,2,2,144,38,152,73,12,10,11,5,8,8,1,0,0,900,3,0,74.0,185.0,75.0,0.0,0.25,1,0,4,0.25,24.832816553385765,74.0,185.0,73.0,0.25,0.5,0,1,4,0.25,28.93420124985455,0,0,0,0,0,0,1,0,0,0,0,0
Mike Pyle,Alberto Mina,0,1,0.16,0.37,0.0,1.0,1,0,0,0,0,0,2016-07-07,1,12,2,43,16,15,5,57,27,0,0,2,2,9,0,36,12,0,0,3,1,3,2,4,3,9,2,24,7,3,0,0,0,0,0,19,9,0,377,3,0,72.0,170.0,74.0,0.5625,0.1875,1,0,16,0.625,40.80302812514973,72.0,170.0,77.0,0.5,0.0,1,0,2,1.0,34.18276898225152,0,0,0,0,0,0,0,1,0,0,0,0
Yoshihiro Akiyama,Alberto Mina,0,1,0.54,0.45,0.0,0.13,0,0,1,0,0,0,2015-11-28,0,142,78,153,69,163,92,180,84,1,0,15,2,110,53,125,46,3,2,7,5,29,23,21,18,129,66,130,56,1,1,19,10,12,11,4,3,0,900,3,0,70.0,170.0,73.0,0.16666666666666666,0.16666666666666666,1,0,6,0.3333333333333333,40.33484602695469,72.0,170.0,77.0,1.0,0.0,1,0,1,1.0,33.57495362670007,0,0,0,0,0,0,0,1,0,0,0,0
Mike Pyle,Sean Spencer,0,1,0.42,0.24,0.25,0.0,0,0,0,0,1,0,2016-02-06,1,177,75,208,50,181,79,213,54,4,1,0,0,154,57,191,40,9,5,14,9,14,13,3,1,153,57,205,48,22,16,1,1,2,2,2,1,0,865,3,1,72.0,170.0,74.0,0.5333333333333333,0.2,1,0,15,0.6,40.38686626008747,70.0,170.0,75.0,0.0,0.16666666666666666,1,0,6,0.5,28.61934194405087,0,0,0,0,0,0,0,1,0,0,0,0
Yancy Medeiros,Sean Spencer,2,0,0.29,0.19,0.0,0.0,1,0,2,0,0,0,2016-09-10,0,57,17,89,17,57,17,90,18,0,0,0,0,46,10,65,6,7,3,13,5,4,4,11,6,54,17,88,16,2,0,1,1,1,0,0,0,0,349,3,1,70.0,155.0,75.0,0.25,0.375,1,0,8,0.375,29.010862646050228,70.0,170.0,75.0,0.14285714285714285,0.14285714285714285,1,0,7,0.42857142857142855,29.213467764567376,0,0,0,0,0,0,0,1,0,0,0,0
Cathal Pendred,Sean Spencer,0,1,0.43,0.33,0.33,0.0,0,0,3,0,0,0,2015-01-18,0,112,49,155,52,122,59,155,52,12,4,0,0,76,20,132,41,6,1,19,9,30,28,4,2,102,42,147,49,8,7,4,1,2,0,4,2,0,900,3,1,73.0,170.0,75.0,0.0,0.5,1,0,2,1.0,27.379070069885078,70.0,170.0,75.0,0.0,0.2,1,0,5,0.6,27.567985653367284,0,0,0,0,0,0,0,1,0,0,0,0
Paulo Thiago,Sean Spencer,0,1,0.32,0.39,0.0,0.5,0,0,0,5,1,0,2014-09-13,0,111,36,159,63,123,46,202,105,7,0,2,1,95,25,135,46,14,9,20,13,2,2,4,4,106,32,141,47,5,4,5,4,0,0,13,12,0,900,3,0,71.0,170.0,73.0,0.25,0.08333333333333333,1,0,12,0.4166666666666667,33.63244967384683,70.0,170.0,75.0,0.0,0.25,1,0,4,0.5,27.220271463479744,0,0,0,0,0,0,0,1,0,0,0,0
Yuri Villefort,Sean Spencer,0,0,0.4,0.35,0.14,0.0,0,0,0,0,0,0,2013-09-04,0,171,69,281,99,173,70,282,100,7,1,0,0,122,32,266,89,24,12,12,7,25,25,3,3,165,66,268,90,6,3,12,8,0,0,1,1,0,900,3,0,72.0,170.0,73.0,0.0,0.0,1,0,1,0.0,22.45357536431275,70.0,170.0,75.0,0.0,1.0,1,0,1,0.0,26.196294242866042,0,0,0,0,0,0,0,1,0,0,0,0
Mike Pyle,TJ Waldburger,0,0,0.55,0.42,1.0,0.0,1,1,5,0,0,0,2014-02-22,1,101,56,89,38,134,88,102,49,4,4,4,0,87,44,70,21,7,7,8,7,7,5,11,10,57,21,77,31,21,14,12,7,23,21,0,0,0,843,3,1,72.0,170.0,74.0,0.5,0.25,1,0,12,0.6666666666666666,38.43200065709768,71.0,170.0,75.0,0.2857142857142857,0.42857142857142855,1,0,7,0.5714285714285714,25.82941470392958,0,0,0,0,0,0,0,1,0,0,0,0
Johny Hendricks,TJ Waldburger,1,0,0.87,0.33,0.0,0.0,0,0,0,0,0,0,2011-03-26,0,8,7,9,3,10,9,9,3,0,0,1,0,4,3,6,0,4,4,2,2,0,0,1,1,3,2,8,2,2,2,1,1,3,3,0,0,0,95,3,1,69.0,185.0,69.0,0.4,0.0,0,1,5,0.8,27.53513076928342,71.0,170.0,75.0,0.0,0.0,1,0,1,1.0,22.916281648493808,0,0,0,0,0,0,0,1,0,0,0,0
Brian Ebersole,TJ Waldburger,0,1,0.66,0.43,0.4,1.0,0,4,0,2,0,0,2012-06-22,0,59,39,41,18,118,90,59,33,5,2,1,1,42,29,31,9,11,6,7,6,6,4,3,3,29,14,35,13,8,6,5,4,22,19,1,1,0,900,3,1,72.0,170.0,73.0,0.3333333333333333,0.0,0,1,3,1.0,31.568067790577494,71.0,170.0,75.0,0.25,0.5,1,0,4,0.75,24.15929142966659,0,0,0,0,0,0,0,1,0,0,0,0
Mike Pyle,James Head,1,0,0.52,0.52,0.0,0.0,0,0,0,0,0,0,2012-12-15,1,17,9,25,13,17,9,27,15,0,0,0,0,14,7,18,7,2,1,7,6,1,1,0,0,4,2,14,5,6,2,11,8,7,5,0,0,0,115,3,1,72.0,170.0,74.0,0.4444444444444444,0.3333333333333333,1,0,9,0.6666666666666666,37.24374901606467,73.0,170.0,73.0,0.0,0.6666666666666666,1,0,3,0.6666666666666666,28.849326132637906,0,0,0,0,0,0,0,1,0,0,0,0
Brian Ebersole,James Head,0,0,0.39,0.44,0.06,1.0,0,1,2,2,0,1,2012-07-21,0,88,35,83,37,104,51,108,62,15,1,1,1,53,13,64,22,15,9,16,13,20,13,3,2,77,32,61,19,4,1,21,17,7,2,1,1,0,900,3,0,72.0,170.0,73.0,0.25,0.0,0,1,4,1.0,31.64746709378016,73.0,170.0,73.0,0.0,1.0,1,0,2,0.5,28.446853802610594,0,0,0,0,0,0,0,1,0,0,0,0
Papy Abedi,James Head,0,0,0.61,0.48,0.33,0.0,0,1,1,2,0,0,2012-04-14,0,18,11,43,21,28,19,50,28,3,1,0,0,13,7,36,16,2,2,7,5,3,2,0,0,12,6,28,9,3,2,12,10,3,3,3,2,0,273,3,0,71.0,185.0,74.0,0.0,1.0,0,1,1,0.0,33.79124828025216,73.0,170.0,73.0,0.0,1.0,1,0,1,0.0,28.17853891592572,0,0,0,0,0,0,0,1,0,0,0,0
Mike Pyle,Jesse Lennox,1,0,0.4,0.3,0.0,1.0,3,0,2,0,1,0,2010-06-12,0,122,49,120,37,153,77,130,45,5,0,1,1,105,34,79,14,3,3,25,10,14,12,16,13,105,41,105,32,6,2,6,2,11,6,9,3,0,884,3,1,72.0,170.0,74.0,0.3333333333333333,0.6666666666666666,1,0,3,0.3333333333333333,34.733088290656205,69.0,170.0,72.0,0.5,0.0,1,0,2,0.5,28.257938219128388,0,0,0,0,0,0,0,1,0,0,0,0
Rick Story,Jesse Lennox,0,0,0.27,0.17,0.66,0.5,1,1,3,2,1,0,2010-01-11,0,172,47,128,22,192,67,130,24,3,2,2,1,153,31,112,13,15,12,12,7,4,4,4,2,152,36,126,21,10,7,2,1,10,4,0,0,0,900,3,1,69.0,170.0,71.0,0.0,0.5,0,1,2,0.5,25.3721842337625,69.0,170.0,72.0,1.0,0.0,1,0,1,1.0,27.841776354066134,0,0,0,0,0,0,0,1,0,0,0,0
Mike Pyle,Chris Wilson,0,0,0.29,0.34,0.33,0.5,2,1,1,0,0,0,2009-09-16,0,41,12,55,19,132,94,64,27,6,2,2,1,33,8,30,9,4,1,18,7,4,3,7,3,32,5,40,11,0,0,15,8,9,7,0,0,0,735,3,1,72.0,170.0,74.0,0.0,1.0,1,0,1,0.0,33.9965913057763,73.0,170.0,75.0,0.0,0.0,1,0,3,0.3333333333333333,32.27718570538752,0,0,0,0,0,0,0,1,0,0,0,0
Jordan Johnson,Marcel Fortuna,0,0,0.3,0.51,0.33,0.0,0,0,0,0,0,0,2017-07-07,1,139,42,103,53,145,47,112,62,6,2,3,0,131,39,74,28,6,3,17,14,2,0,12,11,124,35,100,51,5,1,3,2,10,6,0,0,0,900,3,1,74.0,205.0,79.0,0.0,0.0,1,0,1,1.0,28.633031479085812,73.0,205.0,74.0,1.0,0.0,1,0,1,1.0,31.707701047933906,0,0,0,0,1,0,0,0,0,0,0,0
Jake Collier,Marcel Fortuna,0,0,0.38,0.42,0.0,0.11,0,1,0,3,2,0,2017-11-11,0,247,94,140,59,279,124,146,65,2,0,9,1,199,55,122,49,26,19,15,9,22,20,3,1,235,88,132,54,7,2,7,5,5,4,1,0,0,900,3,1,75.0,205.0,78.0,0.6,0.0,1,0,5,0.4,29.046455437141077,73.0,205.0,74.0,0.5,0.0,1,0,2,0.5,32.05541523782145,0,0,0,0,1,0,0,0,0,0,0,0
Jessica Penne,Danielle Taylor,0,0,0.38,0.4,0.5,0.0,0,0,1,0,0,0,2017-04-22,0,178,69,176,72,181,71,182,76,2,1,0,0,136,37,141,43,40,31,14,11,2,1,21,18,159,55,167,67,19,14,9,5,0,0,0,0,0,900,3,0,65.0,115.0,67.0,0.6666666666666666,0.0,1,0,3,0.3333333333333333,34.22657549436333,60.0,115.0,60.0,0.0,0.0,1,0,2,0.5,27.491324257171605,0,0,0,0,0,0,0,0,0,0,0,1
